@relation twit_classification

@attribute 1person numeric
@attribute 2person numeric
@attribute 3person numeric
@attribute coord_conj numeric
@attribute past-tense numeric
@attribute future-tense numeric
@attribute commas numeric
@attribute colons-semicolons numeric
@attribute dashes numeric
@attribute paranthesis numeric
@attribute ellipses numeric
@attribute common-nouns numeric
@attribute proper-nouns numeric
@attribute adverbs numeric
@attribute wh-words numeric
@attribute slang numeric
@attribute uppercase numeric
@attribute average-len-sent numeric
@attribute average-len-tokens numeric
@attribute number-sentences numeric
@attribute emoticons numeric
@attribute multipleexclaimation numeric
@attribute hashtags numeric
@attribute mentions numeric
@attribute numbers numeric
@attribute class {Popstars, News}

@data
0,0,1,0,1,0,0,0,0,0,0,3,1,2,1,0,0,18.0,4.64705882353,1,0,0,0,0,0,Popstars
1,0,0,1,0,0,0,0,0,0,0,3,3,1,0,1,0,5.33333333333,3.92307692308,3,0,1,0,0,0,Popstars
0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,6.0,3.66666666667,2,0,1,0,0,1,Popstars
3,0,1,0,1,0,1,0,1,0,0,4,0,2,1,0,0,20.0,4.11764705882,1,0,0,0,0,0,Popstars
0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,10.0,6.0,1,0,0,0,1,0,Popstars
0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,3.83333333333,5.53333333333,6,0,0,0,0,0,Popstars
0,3,0,1,0,0,1,0,1,0,0,7,0,1,0,1,2,16.0,4.15384615385,2,0,1,0,1,0,Popstars
0,2,0,0,2,0,2,0,0,0,0,4,0,1,1,0,0,30.0,4.0,1,0,0,0,1,1,Popstars
1,0,0,0,2,0,0,0,1,0,0,7,1,2,1,1,2,13.0,4.2380952381,2,0,2,0,0,0,Popstars
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,5.66666666667,1,1,0,0,0,0,Popstars
2,1,0,1,0,1,2,0,0,0,0,5,2,2,1,1,0,10.25,3.8,4,0,1,0,0,0,Popstars
3,0,0,1,1,0,0,0,0,0,0,5,0,1,0,0,1,9.33333333333,3.95833333333,3,0,0,0,0,0,Popstars
0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,4.0,5.33333333333,1,0,0,0,0,0,Popstars
3,1,0,1,0,0,0,0,0,0,0,8,0,2,0,0,0,9.0,3.95652173913,3,0,2,0,1,0,Popstars
2,0,0,0,1,0,0,0,0,0,0,6,1,1,0,0,2,15.0,3.75,2,0,0,0,0,0,Popstars
0,0,0,0,0,0,0,0,1,0,0,3,4,0,0,0,0,10.0,4.88888888889,1,0,0,0,0,0,News
0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,5.0,4.8,1,0,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,9.0,5.25,1,0,0,0,0,0,News
0,0,0,0,2,0,0,0,0,0,0,5,6,0,0,0,0,10.5,4.94117647059,2,0,0,2,0,1,News
0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,7.0,5.57142857143,1,0,0,0,0,0,News
0,0,0,0,0,0,1,1,0,0,0,4,3,0,0,0,2,13.0,5.7,1,0,0,0,0,0,News
0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,8.0,6.0,1,0,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9.0,6.0,1,0,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,9.0,6.28571428571,1,0,0,0,0,0,News
0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,10.0,4.55555555556,1,0,0,0,0,0,News
0,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,10.0,4.77777777778,1,0,0,0,0,0,News
0,0,0,0,0,0,0,1,0,0,0,9,3,2,0,0,1,7.33333333333,5.47058823529,3,0,0,3,1,1,News
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,6.0,6.0,1,0,0,0,0,0,News
0,0,0,1,0,0,1,1,0,0,0,4,2,0,0,0,2,16.0,4.54545454545,1,0,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,6.0,4.66666666667,1,0,0,0,0,0,News
0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0,7.0,7.66666666667,1,0,0,0,0,0,News
0,0,0,0,0,1,1,0,1,0,0,2,2,1,0,0,0,13.0,5.2,1,0,0,0,0,0,News
0,0,1,0,1,0,0,0,0,0,0,4,2,0,0,0,0,19.0,4.375,1,0,0,0,0,0,News
1,0,0,1,1,0,1,1,0,0,0,9,0,0,0,0,0,21.0,5.17647058824,1,0,0,0,0,1,News
0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,9.0,5.2,1,0,0,0,0,1,News
0,0,0,0,0,0,0,1,0,0,0,3,1,1,0,0,1,8.0,5.5,1,0,0,0,1,0,News
0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,12.0,5.5,1,0,0,0,0,1,News
0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,5.0,3.5,1,0,1,0,0,0,News
0,0,0,1,0,0,0,1,0,0,0,6,4,1,0,0,0,21.0,4.875,1,0,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,8.0,5.33333333333,1,0,0,0,0,0,News
0,0,0,0,0,0,0,1,0,0,0,2,5,1,1,0,3,13.5,4.2380952381,2,0,0,1,0,1,News
0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,8.0,6.14285714286,1,0,0,0,0,0,News
1,0,1,0,0,0,0,2,0,0,0,5,3,3,0,0,2,10.5,4.125,2,0,0,0,1,0,News
0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,9.0,5.14285714286,1,0,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,7.0,4.66666666667,1,0,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7.0,5.5,1,0,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,1,8.0,4.28571428571,1,0,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7.0,5.14285714286,1,0,0,0,0,0,News
0,0,0,1,0,0,1,0,0,0,0,1,3,0,0,0,0,8.0,6.28571428571,1,0,0,0,0,0,News
0,0,0,0,1,0,0,0,1,0,0,3,0,1,0,0,1,8.0,5.14285714286,1,0,0,0,0,0,News
0,0,0,1,1,0,0,1,0,0,0,2,2,1,0,0,0,9.0,5.0,1,0,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,10.0,5.22222222222,1,0,0,0,0,1,News
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,7.0,5.57142857143,1,0,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,7.0,4.83333333333,1,0,0,0,0,1,News
0,0,0,0,0,0,1,1,0,0,0,1,3,1,0,0,0,9.0,5.42857142857,1,0,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,1,10.0,5.1,1,0,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9.0,4.44444444444,1,0,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,12.0,4.75,1,0,0,0,0,0,News
0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,8.0,5.71428571429,1,0,0,0,0,0,News
0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,8.0,5.0,1,0,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,12.0,5.16666666667,1,0,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,6.0,6.5,1,0,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,8.0,3.83333333333,1,0,0,0,0,1,News
