@relation twit_classification

@attribute average-len-sent numeric
@attribute 3person numeric
@attribute commas numeric
@attribute uppercase numeric
@attribute hashtags numeric
@attribute adverbs numeric
@attribute numbers numeric
@attribute emoticons numeric
@attribute coord_conj numeric
@attribute multipleexclaimation numeric
@attribute 2person numeric
@attribute past-tense numeric
@attribute ellipses numeric
@attribute average-len-tokens numeric
@attribute dashes numeric
@attribute colons-semicolons numeric
@attribute number-sentences numeric
@attribute wh-words numeric
@attribute paranthesis numeric
@attribute 1person numeric
@attribute slang numeric
@attribute common-nouns numeric
@attribute proper-nouns numeric
@attribute mentions numeric
@attribute future-tense numeric
@attribute class {Obama, Colbert, Ashton, Kardashian, NeilDT, Shakira}

@data
1,0,1,1,0,0,1,1,0,0,0,9,1,2,0,0,2,5.6,3.91666666667,5,0,2,0,1,0,Kardashian
0,1,1,0,0,0,0,1,0,0,0,12,3,2,0,1,14,5.0,3.57142857143,7,0,3,1,1,2,Kardashian
0,1,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,3.8,3.92857142857,5,0,3,0,0,1,Kardashian
0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2.0,8.25,3,0,2,0,1,0,Kardashian
2,1,0,0,1,0,1,0,0,0,0,4,2,1,0,0,1,4.8,3.63157894737,5,0,3,0,0,0,Kardashian
0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,9.0,3.625,1,0,1,0,0,0,Kardashian
0,2,1,0,1,0,0,0,0,0,0,2,0,3,0,0,0,13.0,5.16666666667,1,0,1,0,1,0,Kardashian
0,2,1,0,2,0,0,0,0,0,0,3,0,1,1,3,0,3.0,4.08333333333,5,0,3,0,1,0,Kardashian
0,0,0,0,1,1,0,0,0,0,0,3,3,2,0,0,0,3.6,5.33333333333,5,0,3,0,0,0,Kardashian
0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,20.0,5.0,1,0,0,20,0,0,Kardashian
0,0,1,3,0,0,0,1,0,0,0,5,1,2,0,0,2,18.0,4.46666666667,1,0,0,0,2,0,Kardashian
1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3.66666666667,5.88888888889,3,0,2,1,0,0,Kardashian
0,0,0,0,0,0,1,1,0,0,1,4,1,1,1,0,3,14.0,4.7,1,0,0,0,1,0,Kardashian
0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2.33333333333,5.8,3,0,2,0,1,0,Kardashian
0,1,0,0,0,0,0,0,0,0,0,6,1,2,0,0,0,4.4,4.52631578947,5,0,3,0,0,0,Kardashian
3,1,1,1,2,0,0,0,0,0,0,9,1,2,0,1,1,6.4,3.76923076923,5,0,2,0,2,4,Kardashian
1,0,0,0,1,0,0,0,0,0,0,3,0,2,0,0,0,5.66666666667,3.93333333333,3,0,2,0,0,0,Kardashian
0,0,0,0,0,0,0,1,0,0,0,11,1,1,0,1,4,2.27272727273,5.16666666667,11,0,6,2,3,0,Kardashian
0,0,0,1,0,0,0,0,0,0,0,8,2,0,0,0,0,3.2,6.66666666667,5,0,3,0,2,0,Kardashian
1,0,0,0,0,1,1,0,0,0,0,9,2,0,0,1,2,9.66666666667,4.45833333333,3,0,1,0,1,0,Kardashian
0,0,1,1,1,0,1,0,0,0,0,3,2,0,0,0,2,9.0,4.40909090909,3,0,2,0,0,1,Kardashian
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8.0,6.0,1,0,1,0,1,1,Kardashian
1,1,0,1,0,1,0,1,0,0,0,8,0,3,0,1,1,6.0,4.0,5,0,3,0,2,0,Kardashian
2,3,0,1,0,0,0,0,0,0,0,7,0,2,0,2,1,4.2,4.76470588235,5,0,3,0,1,0,Kardashian
1,1,0,0,1,0,0,0,0,0,0,3,2,3,0,1,0,3.8,4.6875,5,0,2,1,1,0,Kardashian
3,0,2,1,0,0,0,0,0,0,0,4,2,3,0,0,1,6.2,4.08,5,0,2,0,0,0,Kardashian
2,1,0,0,0,0,1,1,0,0,0,11,1,1,0,1,3,6.4,4.16666666667,5,0,2,1,3,3,Kardashian
3,3,2,2,0,0,0,0,0,0,0,6,0,2,0,3,0,4.14285714286,3.41666666667,7,0,3,0,1,1,Kardashian
0,0,0,1,0,0,0,0,0,0,0,9,3,2,0,1,0,5.0,5.26315789474,5,0,2,0,0,2,Kardashian
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.0,2.6,1,0,1,0,0,0,Kardashian
0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4.0,5.0,1,0,1,0,0,0,Kardashian
2,1,0,1,0,0,0,1,0,0,0,7,1,3,1,3,2,9.66666666667,4.32,3,0,1,0,2,1,Kardashian
1,0,0,0,0,0,0,0,0,0,0,6,2,1,0,0,0,4.2,5.72222222222,5,0,3,0,3,0,Kardashian
1,0,0,0,0,0,0,0,0,0,1,4,1,2,0,1,0,3.6,3.8,5,0,1,0,0,0,Kardashian
2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,8.0,4.14285714286,1,0,1,0,0,0,Kardashian
0,0,1,1,0,0,0,0,0,0,0,5,1,2,0,0,1,6.0,4.5,3,0,2,0,0,0,Kardashian
2,3,1,0,0,0,0,1,0,0,0,11,1,1,0,1,2,4.14285714286,4.69565217391,7,0,4,0,2,0,Kardashian
0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,7.0,5.8,1,0,1,0,1,1,Kardashian
0,1,1,1,0,2,0,1,0,0,0,6,4,1,0,0,1,8.33333333333,4.25,3,0,1,0,1,2,Kardashian
1,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,1,3.42857142857,3.61111111111,7,0,4,0,0,0,Kardashian
0,0,0,0,0,0,0,1,0,0,0,6,1,1,0,0,1,5.33333333333,6.33333333333,3,0,1,2,2,0,Kardashian
1,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,5.66666666667,5.0,3,0,2,0,0,0,Kardashian
0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,6.0,6.0,1,0,1,0,0,0,Kardashian
1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2.4,4.4,5,0,2,0,1,0,Kardashian
1,0,1,0,1,0,0,1,0,0,1,10,1,0,0,0,1,3.42857142857,4.61111111111,7,0,2,1,2,1,Kardashian
2,0,1,0,1,1,0,1,2,0,0,6,4,4,0,2,2,7.4,3.48275862069,5,0,2,0,3,1,Kardashian
0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,2.66666666667,3.6,3,0,1,0,1,1,Kardashian
1,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,3,18.0,5.0625,1,0,1,0,3,0,Kardashian
1,1,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,2.33333333333,3.0,3,0,1,0,1,0,Kardashian
0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,4.0,5.55555555556,3,0,2,0,1,0,Kardashian
0,1,1,0,0,0,0,1,1,0,0,8,1,0,0,1,1,4.4,4.0625,5,0,3,0,2,0,Kardashian
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4.0,6.66666666667,1,0,1,0,1,0,Kardashian
1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,9.0,5.625,1,0,1,0,1,0,Kardashian
1,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,3.2,4.84615384615,5,0,2,0,1,1,Kardashian
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.0,5.0,1,0,1,0,0,0,Kardashian
0,0,3,2,1,0,0,0,0,0,0,6,0,2,0,2,1,6.2,4.47826086957,5,0,2,0,1,2,Kardashian
1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,3.0,4.625,3,0,1,0,1,0,Kardashian
2,1,0,1,2,0,0,0,0,0,0,4,3,0,0,0,1,6.66666666667,4.0,3,0,2,0,0,0,Kardashian
1,0,0,1,0,0,0,1,0,0,0,7,2,0,0,0,1,5.66666666667,6.0,3,0,1,0,2,0,Kardashian
0,0,0,1,1,0,0,1,0,0,0,9,1,0,0,0,1,6.4,4.66666666667,5,0,1,0,1,0,Kardashian
1,2,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,8.66666666667,5.04545454545,3,0,1,0,2,0,Kardashian
3,2,0,1,0,0,0,1,0,0,1,7,0,3,0,0,1,3.0,4.4,9,0,1,0,2,0,Kardashian
2,2,0,0,0,0,0,0,0,0,1,8,0,0,0,1,0,3.8,4.46666666667,5,0,2,0,1,0,Kardashian
0,0,2,0,0,1,0,0,0,0,0,5,1,2,1,1,1,27.0,4.30769230769,1,0,0,0,1,1,Kardashian
0,0,0,1,0,0,4,1,0,0,0,9,6,0,1,0,1,6.6,4.80952380952,5,0,2,0,2,2,Kardashian
2,1,0,0,3,0,0,0,0,0,0,5,0,0,0,2,1,5.66666666667,4.2,3,0,2,0,2,0,Kardashian
1,1,1,2,1,1,0,0,0,0,0,9,3,3,1,1,2,4.0,3.37931034483,9,0,4,0,0,1,Kardashian
2,1,0,0,0,0,0,0,0,0,1,6,0,1,0,2,3,3.28571428571,4.76470588235,7,0,3,0,1,0,Kardashian
1,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0,12.0,5.81818181818,1,0,1,0,1,0,Kardashian
2,1,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,17.0,4.82352941176,1,0,0,0,0,0,Kardashian
0,2,0,0,0,0,0,1,0,0,0,5,1,2,0,3,1,3.4,4.76923076923,5,0,2,0,2,0,Kardashian
1,0,1,1,2,1,0,0,0,0,0,6,4,2,0,0,1,4.28571428571,4.23076923077,7,0,4,0,0,0,Kardashian
0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,2.33333333333,5.0,3,0,2,0,0,0,Kardashian
1,3,0,0,0,0,0,1,0,0,0,6,0,3,0,3,1,5.2,4.6,5,1,1,0,2,0,Kardashian
0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,8.0,5.0,1,0,1,0,1,0,Kardashian
3,0,0,0,1,0,0,0,2,0,0,2,2,2,0,2,0,7.33333333333,3.36842105263,3,0,1,0,0,0,Kardashian
2,1,1,0,1,0,0,0,0,0,0,8,0,4,0,1,0,5.4,3.625,5,0,2,0,0,0,Kardashian
2,2,2,0,2,0,0,0,1,0,0,7,0,2,0,1,1,4.0,4.59090909091,7,0,2,0,3,0,Kardashian
1,1,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,4.66666666667,3.83333333333,3,0,1,0,1,1,Kardashian
1,1,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,2.4,4.3,5,0,2,0,1,0,Kardashian
2,1,5,1,2,1,0,0,0,0,0,3,1,2,0,2,4,6.6,3.10714285714,5,0,2,0,0,1,Kardashian
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.0,4.0,1,0,1,0,0,0,Kardashian
0,0,2,0,2,0,1,0,0,0,0,5,1,1,1,1,1,7.66666666667,3.94736842105,3,0,1,0,1,1,Kardashian
2,2,0,0,1,0,0,0,0,0,0,2,0,2,0,3,0,3.8,3.28571428571,5,0,3,0,1,0,Kardashian
0,1,0,0,1,0,0,0,0,0,0,2,0,2,0,1,0,8.0,4.28571428571,1,0,1,0,1,0,Kardashian
1,0,2,0,0,0,0,0,0,0,0,5,1,1,1,0,0,4.6,4.6,5,0,2,0,1,0,Kardashian
1,1,1,1,2,0,0,0,0,0,0,5,4,1,0,1,0,6.0,4.41666666667,5,0,3,0,0,0,Kardashian
0,1,1,0,1,1,0,0,0,0,0,4,2,1,0,1,0,4.0,3.66666666667,5,0,1,0,0,0,Kardashian
1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,1,3.66666666667,6.44444444444,3,0,2,0,1,0,Kardashian
2,0,0,0,0,2,0,1,0,0,0,5,0,1,0,0,1,7.0,4.22222222222,3,0,1,0,2,0,Kardashian
1,1,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,7.0,3.76470588235,3,0,2,0,1,0,Kardashian
0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,2.66666666667,4.33333333333,3,0,2,0,0,0,Kardashian
2,2,1,1,0,0,0,0,0,0,0,8,1,1,1,2,1,4.85714285714,3.60714285714,7,0,4,0,1,0,Kardashian
5,0,0,1,3,0,0,0,0,0,0,9,0,4,0,1,2,4.57142857143,3.68,7,0,4,0,1,1,Kardashian
1,3,0,0,0,0,0,0,0,0,0,4,0,2,0,3,0,3.2,4.61538461538,5,0,3,0,1,0,Kardashian
2,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,2,5.0,4.34782608696,5,0,2,1,2,0,Kardashian
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5.0,5.5,1,0,1,0,0,0,Kardashian
0,0,0,0,1,0,0,0,0,0,0,7,1,1,0,0,1,2.66666666667,4.1,9,0,4,0,1,0,Kardashian
1,0,0,1,0,0,0,0,0,0,0,5,0,0,1,0,0,7.33333333333,4.58823529412,3,0,2,0,1,1,Kardashian
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,3.0,6.5,1,0,1,0,0,0,Kardashian
0,0,0,0,2,0,0,0,0,0,0,5,2,2,0,0,0,8.0,5.0,3,0,2,0,1,0,Kardashian
0,0,0,2,0,0,0,0,0,0,0,3,4,0,0,0,0,5.33333333333,5.0,3,0,2,0,0,0,Kardashian
2,0,1,0,1,0,1,0,0,0,0,5,0,1,0,1,0,7.0,4.58823529412,3,0,2,0,2,0,Kardashian
2,0,0,1,5,0,0,0,0,0,0,6,1,3,0,2,1,5.4,4.60869565217,5,0,2,0,3,1,Kardashian
1,1,0,0,0,0,0,0,0,0,0,3,1,1,0,2,0,3.33333333333,4.625,3,0,2,0,1,0,Kardashian
0,0,0,1,1,0,0,0,0,0,0,3,4,1,0,1,1,3.6,4.06666666667,5,0,3,0,0,0,Kardashian
1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,11.0,5.22222222222,1,0,1,1,1,0,Kardashian
0,0,1,2,1,0,0,0,0,0,0,8,0,2,0,1,2,5.4,5.35,5,0,2,0,2,1,Kardashian
1,0,0,0,0,0,0,0,0,0,0,6,1,0,0,1,1,5.0,5.08333333333,3,0,2,0,1,0,Kardashian
0,1,0,0,0,0,0,0,0,0,0,5,2,0,0,1,2,9.0,5.375,1,0,1,0,2,0,Kardashian
1,1,0,1,1,0,0,2,0,0,0,13,1,0,0,1,4,3.85714285714,5.15,7,0,4,1,5,0,Kardashian
1,0,1,0,0,0,0,0,0,1,0,6,2,0,1,0,0,4.8,4.3,5,0,2,0,1,0,Kardashian
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,5.0,3.5,1,0,1,0,0,0,Kardashian
2,0,0,1,0,1,0,0,1,0,2,4,0,1,0,0,0,3.42857142857,3.65,7,0,1,0,0,0,Kardashian
2,2,0,0,2,0,0,0,0,0,0,5,0,2,0,1,0,5.2,4.2,5,0,3,0,0,1,Kardashian
3,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,7.66666666667,4.36842105263,3,0,1,0,1,2,Kardashian
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3.0,9.0,1,0,1,0,1,0,Kardashian
3,0,0,2,3,0,0,0,0,0,0,8,2,0,0,0,2,10.0,3.96153846154,3,0,1,0,2,1,Kardashian
0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2.0,4.0,3,0,1,0,0,0,Kardashian
2,1,0,1,0,1,0,0,0,0,0,7,3,0,0,1,0,4.57142857143,3.78571428571,7,0,3,0,0,0,Kardashian
0,0,1,0,2,0,0,0,0,0,0,5,0,1,0,0,0,4.0,5.41176470588,5,0,3,0,2,0,Kardashian
1,3,0,0,2,0,0,1,0,0,0,8,0,3,0,4,1,8.33333333333,4.28571428571,3,2,1,0,2,0,Kardashian
0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,13.0,5.0,1,0,1,0,2,1,Kardashian
1,1,1,1,0,0,0,1,0,0,0,10,2,1,0,1,2,4.57142857143,4.0,7,0,3,0,2,1,Kardashian
2,2,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,11.0,5.0,1,0,0,0,2,0,Kardashian
4,0,0,1,3,0,0,1,0,0,0,8,0,1,0,0,2,3.33333333333,4.59090909091,9,0,3,1,2,0,Kardashian
