@relation twit_classification

@attribute average-len-sent numeric
@attribute 3person numeric
@attribute commas numeric
@attribute uppercase numeric
@attribute hashtags numeric
@attribute adverbs numeric
@attribute emoticons numeric
@attribute coord_conj numeric
@attribute multipleexclaimation numeric
@attribute 2person numeric
@attribute past-tense numeric
@attribute ellipses numeric
@attribute average-len-tokens numeric
@attribute dashes numeric
@attribute colons-semicolons numeric
@attribute number-sentences numeric
@attribute wh-words numeric
@attribute paranthesis numeric
@attribute 1person numeric
@attribute slang numeric
@attribute common-nouns numeric
@attribute proper-nouns numeric
@attribute mentions numeric
@attribute future-tense numeric
@attribute class {Popstarts, News}

@data
0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,7.0,5.83333333333,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5.0,7.0,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,9.0,5.33333333333,1,0,0,0,0,News
0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,9.0,4.77777777778,1,0,0,0,0,News
0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,8.0,4.71428571429,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,7.0,4.66666666667,1,0,0,0,0,News
0,0,1,0,1,0,0,0,0,0,0,5,1,2,0,0,1,4.0,4.16666666667,7,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,8.0,4.25,1,0,0,0,0,News
0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,2.2,5.125,5,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,10.0,4.875,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,8.0,3.5,1,0,0,0,0,News
0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,10.0,5.375,1,0,0,0,0,News
0,0,0,1,0,0,0,1,0,0,0,2,2,0,0,0,1,12.0,5.3,1,0,0,0,0,News
0,0,0,0,1,0,0,0,0,0,0,8,1,0,0,0,0,6.33333333333,5.38888888889,3,0,0,1,0,News
0,0,0,0,1,0,0,1,0,0,0,3,1,0,0,0,0,8.0,6.6,1,0,0,0,0,News
0,0,0,0,1,0,0,0,1,0,0,3,1,0,0,0,0,10.0,4.44444444444,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,7.0,4.66666666667,1,0,0,0,0,News
0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,5.0,6.8,1,0,0,0,0,News
1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,11.0,4.33333333333,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1.57142857143,2.875,7,0,0,0,0,News
0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,7.0,6.14285714286,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,11.0,4.09090909091,1,0,0,0,0,News
0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,10.0,4.33333333333,1,0,1,0,0,News
0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,2,12.0,3.9,1,0,0,0,0,News
0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,7.0,4.42857142857,1,0,0,0,0,News
0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,1,7.0,5.33333333333,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,8.0,5.125,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,1,9.0,5.0,1,0,0,0,0,News
0,0,0,1,1,0,0,0,0,0,0,3,1,0,0,0,1,9.0,4.875,1,0,0,0,0,News
0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,1,8.0,6.16666666667,1,0,0,0,0,News
0,0,0,0,0,0,0,2,0,0,0,4,2,0,0,0,0,11.0,4.14285714286,1,0,0,0,0,News
0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,10.0,5.0,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,9.0,4.0,1,0,0,0,0,News
0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,6.0,6.83333333333,1,0,0,0,0,News
0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,8.0,5.25,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,7.0,5.57142857143,1,0,0,0,0,News
0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,9.0,4.625,1,0,0,0,0,News
0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,2,7.0,6.66666666667,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,7.0,5.8,1,0,0,0,0,News
0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,2,12.0,3.625,1,0,0,1,0,News
0,0,0,1,0,0,0,1,0,0,0,10,3,0,0,0,2,8.0,5.0,3,0,0,1,1,News
0,0,0,1,0,0,0,0,0,0,0,4,1,1,2,0,0,12.0,5.16666666667,1,0,0,0,0,News
0,0,0,1,2,0,0,0,0,0,0,2,1,0,1,0,0,8.0,5.125,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,2.6,3.45454545455,5,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5.0,6.2,1,0,0,0,0,News
0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,9.0,4.375,1,0,0,0,0,News
0,1,0,0,0,0,0,0,1,0,0,3,3,0,0,1,0,2.2,5.0,5,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,8.0,4.25,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7.0,5.85714285714,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,7.0,5.42857142857,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7.0,5.85714285714,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,8.0,4.5,1,0,0,0,0,News
0,0,0,0,0,0,0,0,1,0,0,10,1,1,0,0,0,6.0,6.125,3,0,0,1,0,News
0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,5.0,6.4,1,0,0,0,0,News
0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,9.0,6.5,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,9.0,5.5,1,0,0,0,0,News
0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,6.0,6.5,1,0,0,0,0,News
0,0,1,0,0,0,0,0,0,0,0,4,1,1,0,0,0,12.0,3.77777777778,1,0,0,0,0,News
0,0,0,0,0,0,1,1,1,0,0,5,4,1,1,0,0,19.0,6.0,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,9.0,5.75,1,0,0,0,0,News
0,0,0,0,1,0,1,0,0,0,0,4,1,0,0,0,0,9.0,4.5,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,7.0,4.16666666667,1,0,0,0,0,News
0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,1,7.0,5.42857142857,1,0,0,0,0,News
0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,8.0,5.28571428571,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,7.0,5.57142857143,1,0,0,0,0,News
0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,6.0,6.6,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7.0,6.0,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,6.0,6.0,1,0,0,0,0,News
0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,8.0,5.14285714286,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,7.0,4.42857142857,1,0,0,0,0,News
0,0,0,0,0,0,0,0,2,0,0,4,3,0,0,0,0,12.0,4.2,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,7.0,4.5,1,0,0,0,0,News
0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,4.0,5.75,1,0,0,0,0,News
1,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,9.0,4.625,1,0,0,0,0,News
0,0,0,0,1,0,2,0,0,0,0,2,2,0,0,0,1,11.0,4.625,1,0,0,0,0,News
0,0,0,0,0,0,0,1,0,0,0,4,2,0,0,0,2,13.0,4.3,1,0,0,0,0,News
0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,8.0,5.85714285714,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,9.0,4.77777777778,1,0,0,0,0,News
0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,1,10.0,6.83333333333,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,2.0,4.25,5,0,0,0,0,News
0,0,0,0,1,0,1,0,0,0,0,3,2,0,0,0,0,9.0,5.5,1,0,0,0,0,News
0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,5.0,6.4,1,0,0,0,0,News
0,1,0,0,1,0,0,0,2,0,0,2,0,1,0,0,0,12.0,4.66666666667,1,0,0,0,1,News
0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,6.0,6.0,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,7.0,5.85714285714,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,9.0,3.75,1,0,0,0,0,News
0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,7.0,6.28571428571,1,0,0,0,0,News
0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,6.0,6.33333333333,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,6.0,4.33333333333,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,7.0,5.0,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,9.0,4.875,1,0,0,0,0,News
0,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0,0,9.0,5.42857142857,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5.0,6.0,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,7.0,5.28571428571,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8.0,5.625,1,0,0,0,0,News
0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,8.0,4.85714285714,1,0,0,0,0,News
0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,5.0,7.0,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,10.0,3.5,1,0,0,0,0,News
0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,9.0,3.875,1,0,0,0,0,News
0,0,0,0,0,0,1,0,1,0,0,3,2,0,0,0,1,10.0,5.0,1,0,0,0,0,News
0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,9.0,4.22222222222,1,0,0,0,0,News
0,0,0,0,0,0,0,1,1,0,0,5,2,0,0,0,0,15.0,5.41666666667,1,0,0,1,0,News
0,0,0,0,0,0,1,0,0,0,0,6,0,1,0,0,0,16.0,6.73333333333,1,0,0,0,0,News
0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,8.0,5.875,1,0,0,0,0,News
1,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,4.33333333333,5.7,3,0,1,0,1,News
0,0,0,0,0,0,1,0,0,0,0,6,6,0,0,0,3,4.6,5.0,5,0,0,1,0,News
0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,7.0,5.57142857143,1,0,0,0,0,News
0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,6.0,6.0,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,6.0,6.0,1,0,0,0,0,News
0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,6.0,5.83333333333,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,8.0,5.0,1,0,0,0,0,News
0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,2,9.0,5.125,1,0,0,0,0,News
0,1,0,0,0,0,1,0,0,0,0,2,2,0,0,1,0,2.2,4.125,5,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,6.0,6.66666666667,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5.0,5.2,1,0,0,0,0,News
